Sensor: 2S_4289_SN10_smalledge
Date:6/21/2018 11:38:01.7830 AM
Step Size X and Y: 251.6130 and 194.6490
Step Number X and Y: 31 and 37
Calibration X and Y: 11.4500 and 10.8800
Angle: -0.006000
f/e: 55=fiducial, 33=edge
edge: 0=top, 1=left, 2=right, 3=bottom 

edge	filx	fily	pixx	pixy	psx	psy	f/e
0	5	0	0.000000	7.000000	67012	61353	33
2	31	18	312.000000	0.000000	60491	64896	33
3	0	19	7.000000	0.000000	68292	65043	33
3	31	19	312.000000	0.000000	60492	65090	33
2	31	1	313.000000	0.000000	60471	61587	33
3	0	20	6.000000	0.000000	68293	65238	33
1	0	2	8.000000	0.000000	68272	61734	33
3	31	20	313.000000	0.000000	60494	65285	33
3	0	21	8.000000	0.000000	68295	65433	33
0	6	0	0.000000	8.000000	66760	61354	33
3	31	21	313.000000	0.000000	60495	65480	33
3	0	22	7.000000	0.000000	68296	65627	33
3	31	22	312.000000	0.000000	60496	65674	33
3	0	23	7.000000	0.000000	68297	65822	33
3	31	23	312.000000	0.000000	60497	65869	33
3	0	24	7.000000	0.000000	68298	66016	33
3	31	24	312.000000	0.000000	60498	66063	33
0	7	0	0.000000	7.000000	66509	61356	33
3	0	25	6.000000	0.000000	68299	66211	33
3	31	25	312.000000	0.000000	60499	66258	33
3	0	26	6.000000	0.000000	68300	66406	33
3	31	26	313.000000	0.000000	60501	66453	33
3	0	27	8.000000	0.000000	68302	66600	33
3	31	27	311.000000	0.000000	60502	66647	33
3	0	28	5.000000	0.000000	68303	66795	33
0	8	0	0.000000	8.000000	66257	61357	33
3	31	28	312.000000	0.000000	60503	66842	33
3	0	29	6.000000	0.000000	68304	66990	33
3	31	29	310.000000	0.000000	60504	67037	33
2	31	2	313.000000	0.000000	60472	61781	33
3	0	30	6.000000	0.000000	68305	67184	33
1	0	3	10.000000	0.000000	68274	61929	33
3	31	30	312.000000	0.000000	60505	67231	33
3	0	31	6.000000	0.000000	68306	67379	33
0	9	0	0.000000	8.000000	66006	61359	33
